hidden nodes,regularization hyperparameter,training accuracy,validation accuracy,test accuracy,time taken
4,0,84.20379146919431,83.22701688555347,84.2543527630583,23.495229244232178
4,10,85.50236966824644,84.09005628517824,85.95760787282362,19.686103582382202
4,20,85.33649289099526,83.26454033771107,84.89780469341409,21.848512172698975
4,30,86.81042654028435,85.29080675422139,85.88190764572293,31.829134941101074
4,40,85.34597156398104,83.67729831144464,85.23845571536714,33.558778285980225
4,50,85.65876777251185,84.24015009380864,85.42770628311885,35.46671199798584
4,60,85.37440758293839,84.39024390243902,85.61695685087055,29.245278358459473
8,0,84.81990521327015,83.03939962476548,85.50340651021952,34.04424023628235
8,10,84.58293838862559,83.11444652908068,85.12490537471612,22.386518001556396
8,20,85.14218009478674,83.67729831144464,85.46555639666919,18.200498580932617
8,30,85.76303317535545,84.80300187617262,85.88190764572293,19.914621829986572
8,40,85.25118483412322,83.60225140712946,85.16275548826646,19.614667415618896
8,50,85.16587677725119,83.03939962476548,85.35200605601817,16.195245265960693
8,60,84.67298578199052,82.5140712945591,85.2006056018168,16.192944049835205
12,0,86.14218009478672,84.953095684803,86.10900832702498,17.708741664886475
12,10,84.20379146919431,82.62664165103189,84.97350492051477,18.73043727874756
12,20,85.12796208530806,83.37711069418387,85.73050719152158,17.96014666557312
12,30,85.44549763033176,83.78986866791745,85.8440575321726,17.869160652160645
12,40,85.06635071090048,83.07692307692308,85.46555639666919,16.596986293792725
12,50,85.41706161137441,84.09005628517824,85.61695685087055,18.821513175964355
12,60,86.20379146919431,85.51594746716698,86.07115821347465,21.01191544532776
16,0,84.68720379146919,83.18949343339587,85.12490537471612,21.254050970077515
16,10,85.40758293838863,84.61538461538461,85.6548069644209,19.401446104049683
16,20,84.27488151658767,83.11444652908068,84.40575321725964,44.34039044380188
16,30,84.25592417061611,82.88930581613508,84.93565480696442,63.269490242004395
16,40,85.80568720379146,84.61538461538461,86.18470855412566,51.41646218299866
16,50,83.91943127962085,82.4390243902439,84.55715367146101,51.86792063713074
16,60,85.1611374407583,83.60225140712946,85.6548069644209,40.684051275253296
20,0,85.71563981042654,84.953095684803,86.22255866767601,29.66032075881958
20,10,84.04739336492891,82.96435272045028,84.21650264950796,29.621798276901245
20,20,85.31279620853081,83.52720450281426,85.57910673732022,39.1602418422699
20,30,84.04739336492891,82.2889305816135,84.70855412566237,31.981740713119507
20,40,84.0,82.85178236397749,85.04920514761545,28.557830095291138
20,50,84.24170616113744,82.3264540337711,84.51930355791067,31.48023509979248
20,60,85.49289099526067,83.71482176360226,85.23845571536714,32.21828842163086
